what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535412010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535412852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535414324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535460284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535460939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535461609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535463642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535464964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535466891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535475852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535477163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535478609
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318535509722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535513340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535637301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318535638395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535640493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535641653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535648541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535657155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318535661791
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textEnd",1318535663187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318535670317
